Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_OPS_Collocation_20220622.O30
Instrument Model,3330
Instrument Serial Number,3330170702
Sample Length (s),155
Alarm Set,No
Dead Time Correction Applied,Yes
Units,Concentration (dW)
Weight,Mass
Refractive Index Applied,No

Sample #,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,
Date,,,,,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,
Start Time,,,,,13:25:00,13:28:00,13:31:00,13:34:00,13:37:00,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:01,15:16:01,15:19:01,15:22:01,15:25:01,15:28:01,15:31:01,15:34:01,15:37:01,15:40:01,
Temp.(C),,,,,30.372,30.525,30.678,30.830,30.952,31.074,31.166,31.258,31.319,31.441,31.502,31.563,31.593,31.593,31.624,31.654,31.685,31.716,31.746,31.807,31.838,31.899,31.929,31.960,31.990,32.021,32.082,32.112,32.143,32.173,32.204,32.234,32.265,32.295,32.357,32.387,32.418,32.448,32.479,32.540,32.570,32.570,32.601,32.631,32.662,32.692,
Pressure(kPa),,,,,84.469,84.438,84.594,84.562,84.718,84.531,84.406,84.625,84.438,84.438,84.531,84.469,84.625,84.469,84.562,84.562,84.438,84.313,84.344,84.500,84.625,84.344,84.531,84.438,84.625,84.406,84.438,84.500,84.438,84.531,84.344,84.375,84.375,84.562,84.562,84.562,84.375,84.313,84.313,84.469,84.438,84.313,84.500,84.594,84.375,84.406,
Rel. Humidity,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Errors,,,,,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,
Alarm Triggered,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dilution Factor,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Dead Time (s),,,,,0.027278,0.02614,0.025441,0.025349,0.025219,0.025058,0.023992,0.024106,0.024089,0.02318,0.024526,0.024009,0.024892,0.01755,0.008108,0.004071,0.002001,0.001309,0.000962,0.000594,5.71483,20.4651,30.4927,30.5767,29.7347,28.9499,19.3991,9.27533,4.29758,1.90261,0.872151,0.394889,0.635968,13.1134,25.8381,33.476,32.891,32.0494,30.8206,18.3915,8.80191,4.09646,1.89035,0.872857,0.411202,0.190899,
Median,,,,,5.16189,5.86653,5.13892,6.38415,6.12774,6.09234,5.11916,3.84773,5.19292,4.28033,6.00512,5.28518,6.08528,5.17853,5.9691,7.72455,1.37306,1.83386,3.99957,1.44656,0.585535,0.637321,0.671779,0.664677,0.657088,0.65192,0.616523,0.566105,0.527658,0.538074,0.511115,0.673477,0.733761,0.660491,0.691775,0.709844,0.699916,0.690889,0.682167,0.63526,0.575607,0.546488,0.520202,0.511107,0.498622,4.89456,
Mean,,,,,5.57648,5.88028,5.92514,6.76634,6.4576,5.98766,5.44964,4.79262,5.04774,4.0442,5.80422,5.9252,6.45262,5.59017,5.19277,6.96099,1.7923,2.02847,3.86302,1.35326,0.805699,0.845779,0.872346,0.863228,0.854049,0.859007,0.908079,0.91166,0.809073,1.12185,0.923668,1.75532,1.46857,0.891729,0.913895,0.932282,0.907069,0.894696,0.89025,0.877109,0.80404,0.806291,0.754933,0.759819,0.720356,4.3982,
Geo. Mean,,,,,4.52564,4.82008,4.66541,5.89128,5.62904,5.11901,4.43658,3.67766,4.02681,3.16447,4.57276,4.71518,5.55442,4.8459,4.24045,5.80425,1.36141,1.64877,3.43011,1.13483,0.686574,0.722349,0.74816,0.740702,0.733897,0.731616,0.722193,0.697223,0.662433,0.728608,0.668815,0.998509,0.955853,0.74595,0.772243,0.788086,0.77518,0.766025,0.757651,0.726484,0.679316,0.665409,0.642584,0.638257,0.617312,2.74403,
Mode,,,,,0.338349,0.338349,0.338349,9.05166,0.338349,7.27015,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,7.27015,9.05166,0.338349,0.338349,4.69048,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,0.338349,
Geo.St.Dev.,,,,,2.21899,2.20381,2.32196,1.93947,1.91362,2.00442,2.18476,2.32134,2.32693,2.35758,2.35668,2.26847,1.97091,1.8935,2.14298,2.07985,2.25781,2.0867,1.83158,1.93812,1.72092,1.72435,1.71688,1.71184,1.70846,1.7213,1.81941,1.87322,1.77724,2.15258,1.94795,2.72428,2.36258,1.77431,1.7567,1.75052,1.73011,1.72486,1.72833,1.76994,1.72614,1.75512,1.70617,1.72836,1.68558,3.17519,
Total Conc. (µg/m³),,,,,0.755104,0.759226,0.699805,1.39568,1.39965,1.07022,0.709525,0.572379,0.493298,0.360098,0.576189,0.718192,1.28911,1.00021,0.283325,0.223956,0.0132004,0.0121557,0.031308,0.00362627,19.6612,82.7221,139.159,137.932,131.596,126.237,75.5271,31.8482,13.5661,6.03866,2.60471,1.47308,2.66055,52.6829,118.977,167.767,161.107,153.294,143.069,72.5737,30.2209,13.1999,5.79278,2.60843,1.1824,1.61251,
LB,UB,LB with RI,UB with RI,Vol.Wt.Mean Diam.,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,
0.3,0.374,0.3,0.374,0.338349,0.0186253,0.0193475,0.0194731,0.0187742,0.0186878,0.0194809,0.0180752,0.0185071,0.018829,0.0181772,0.0193159,0.0183187,0.0185857,0.0130023,0.0060768,0.0032503,0.00168008,0.000894994,0.000745827,0.000416092,2.96997,10.4654,15.1832,15.3115,14.9836,14.6623,10.1147,5.06213,2.39368,1.08353,0.50721,0.233031,0.33824,6.70091,12.8546,16.3258,16.1376,15.8449,15.2521,9.48479,4.73339,2.27441,1.07228,0.506849,0.244037,0.113175,
0.374,0.465,0.374,0.465,0.421139,0.0112653,0.0102507,0.0101144,0.00973588,0.00997813,0.00934219,0.00937241,0.00893332,0.00958439,0.00970546,0.00962984,0.0102203,0.00970557,0.0062682,0.00314905,0.0015442,0.000711536,0.000666116,0.000469308,0.000287639,3.0387,11.6423,18.0189,18.1602,17.6824,17.2114,11.1233,5.13338,2.31193,1.00888,0.458563,0.207082,0.32482,7.10247,14.7992,19.7371,19.4254,18.9235,18.1108,10.3306,4.77639,2.16718,0.99288,0.456814,0.212887,0.0985239,
0.465,0.579,0.465,0.579,0.524067,0.00706105,0.0062732,0.00624399,0.00665247,0.00624398,0.00627315,0.00598134,0.00525191,0.0060397,0.00487258,0.00595218,0.00531026,0.00603973,0.00437641,0.00195468,0.00105025,0.000525116,0.000145865,0.000233383,0.00020421,2.88595,11.9254,19.6476,19.7575,19.0265,18.3512,11.0628,4.71519,2.04062,0.867068,0.38503,0.166826,0.300135,7.14964,15.9175,22.1949,21.6905,20.9103,19.7603,10.2877,4.40768,1.93521,0.863661,0.389608,0.178369,0.0819305,
0.579,0.721,0.579,0.721,0.652575,0.00704199,0.00540821,0.00518285,0.00614054,0.00574619,0.00461948,0.00478845,0.0051828,0.00557714,0.00405608,0.00523915,0.0038871,0.00456314,0.00366161,0.00219683,0.000506948,0.000281634,0.000506939,0,0.000112653,1.95682,8.31496,14.1015,14.0845,13.5194,12.9594,7.59294,3.09795,1.31761,0.549047,0.246575,0.1091,0.20491,4.99761,11.458,16.3238,15.8642,15.2312,14.2535,7.14677,2.97445,1.27889,0.562118,0.238929,0.113516,0.0498536,
0.721,0.897,0.721,0.897,0.812178,0.00977442,0.0083625,0.00792805,0.00803665,0.00749362,0.00553876,0.00803658,0.00673335,0.00597314,0.00749353,0.00564734,0.00640754,0.00868824,0.00684167,0.00173746,0.00141165,0.000325761,0.000434346,0.000217173,0.000108586,2.95408,12.6901,21.8417,21.7928,20.7343,19.8452,11.4641,4.63224,1.90954,0.803295,0.346928,0.156545,0.318812,7.88036,18.156,25.9227,25.0694,23.8979,22.4264,10.9508,4.50937,1.93243,0.829174,0.361672,0.162876,0.0779519,
0.897,1.117,0.897,1.117,1.01099,0.012778,0.0121495,0.00900736,0.0138252,0.00775051,0.0117305,0.0140346,0.014663,0.00795993,0.00754094,0.00628417,0.00984517,0.0131968,0.0106826,0.00439845,0.00167556,0.00209442,0.000418882,0.000418881,0.00020944,2.47161,11.5775,21.6632,21.4201,20.1462,19.0462,10.1303,3.75612,1.47449,0.617678,0.261806,0.121365,0.281384,7.27068,18.1513,27.6173,26.3567,24.6251,22.7831,10.0924,3.85476,1.5816,0.651977,0.289399,0.125158,0.0585056,
1.117,1.391,1.117,1.391,1.25897,0.010113,0.0105174,0.00889934,0.0101129,0.0109219,0.0084948,0.00768572,0.0113263,0.00889926,0.00728117,0.0101128,0.00809023,0.0105174,0.0101124,0.00364023,0,0.000404454,0.000404452,0.000404451,0,1.02421,4.78274,8.60634,8.48368,7.80759,7.2885,4.03226,1.51901,0.57988,0.229716,0.0984305,0.043792,0.1328,3.26069,7.97926,11.3608,10.7776,10.1068,9.29242,4.22371,1.54368,0.623973,0.267366,0.10982,0.0502851,0.0238919,
1.391,1.732,1.391,1.732,1.56768,0.0164016,0.0140584,0.0171825,0.0195255,0.0187445,0.0195255,0.0117152,0.0195254,0.0140583,0.0132772,0.00937219,0.0148393,0.0203065,0.0101528,0.00780933,0.00390457,0.00156181,0.0015618,0.000780897,0.000780896,1.07753,5.0544,9.0545,8.46623,8.02572,7.47451,4.09707,1.52664,0.580686,0.222948,0.108373,0.0454075,0.15839,3.59822,8.33181,12.3813,11.3486,10.6094,9.53457,4.37341,1.56474,0.618412,0.243484,0.114656,0.0407144,0.0273649,
1.732,2.156,1.732,2.156,1.95168,0.0180842,0.013563,0.027126,0.0286329,0.0241119,0.0256189,0.0165768,0.0256187,0.00904191,0.0150698,0.0105489,0.0256187,0.0286329,0.0301384,0.0226024,0.00452037,0,0.00150676,0.00150676,0.00150676,0.765007,3.84861,6.90093,6.47763,5.97545,5.82522,2.9882,1.11224,0.505208,0.151022,0.0590958,0.045318,0.139192,2.75871,6.75893,9.55525,8.92422,8.20589,7.3348,3.30808,1.14538,0.450367,0.207448,0.0818253,0.0347474,0.0392238,
2.156,2.685,2.156,2.685,2.4301,0.0145457,0.0203638,0.0203638,0.0203637,0.029091,0.0320001,0.0145454,0.0465453,0.0145454,0.0087272,0.0290909,0.0319999,0.0232728,0.0290896,0.0145439,0.0116348,0,0,0,0,0.338237,1.74592,2.87867,2.80453,2.57693,2.22468,1.2501,0.408377,0.236334,0.079509,0.032176,0.0204124,0.0642535,1.1979,2.9704,3.99553,3.76224,3.49814,2.90443,1.29699,0.462562,0.17328,0.0471127,0.0321761,0.00291637,0.0582443,
2.685,3.343,2.685,3.343,3.02592,0.0224661,0.0168495,0.0280823,0.0280823,0.0561646,0.0393152,0.0617806,0.0280821,0.0336985,0.0280819,0.0224657,0.0449313,0.050548,0.0561618,0.0168475,0.0224628,0.00561562,0.00561559,0.00561558,0,0.134102,0.54993,1.03464,0.979377,0.945,0.89078,0.513513,0.131405,0.0693082,0.0568533,0.0112946,0.0168897,0.0789415,0.435553,1.08496,1.46114,1.36147,1.0619,0.974291,0.496982,0.142887,0.0403759,0.0341093,0.00564735,0.0168914,0.0449798,
3.343,4.162,3.343,4.162,3.76734,0.0541961,0.0541957,0.0541955,0.0216782,0.0758735,0.0867125,0.0650339,0.086712,0,0.0325168,0.0541951,0.054195,0.0650343,0.108385,0.0216758,0.0216752,0,0,0,0,0.0450087,0.124859,0.175389,0.0675028,0.147508,0.239874,0.185815,0.0461084,0.0222927,0.05486,0.0108986,0.04346,0.0544098,0.10655,0.221089,0.331744,0.233859,0.327894,0.202906,0.159852,0.0229796,0.022263,0,0,0,0.0542534,
4.162,5.182,4.162,5.182,4.69048,0.125516,0.0627575,0.104595,0.0836762,0.0836762,0.0627571,0.0418378,0.104594,0.0418378,0.0418375,0.0418379,0.0627566,0.062757,0.125508,0.0209167,0,0,0,0.0209158,0,0,0,0.052076,0.0260556,0.0258805,0.0257193,0.143447,0.0444938,0,0.0423511,0,0.104845,0.105009,0.0913948,0.100399,0.106709,0.0530989,0,0.0522135,0.0711945,0,0.0214834,0.0211739,0.0210341,0,0.0209414,
5.182,6.451,5.182,6.451,5.83948,0.121098,0.121098,0.0807313,0.363291,0.282559,0.121097,0.201826,0.0403653,0.161461,0.16146,0.0403654,0.121096,0.282559,0.201818,0,0,0,0,0,0,0,0,0,0.100554,0,0,0.0461328,0.171712,0.12453,0.0408606,0,0.0809242,0.0810506,0.132267,0.193731,0.15443,0.10246,0.0508794,0,0.0915851,0,0,0,0,0,0.32327,
6.451,8.032,6.451,8.032,7.27015,0.155795,0.233691,0,0.155794,0.311587,0.46738,0.0778961,0,0.155792,0,0.155793,0,0.23369,0.233679,0.155776,0,0,0,0,0,0,0,0,0,0,0.191543,0.267078,0.331365,0,0.0788519,0.0783247,0.0780829,0.0782049,0,0,0.298016,0,0,0,0.0883695,0.0825731,0.0799983,0,0,0,0.3899,
8.032,10,8.032,10,9.05166,0.150341,0.15034,0.300679,0.601358,0.451018,0.150339,0.150338,0.150338,0,0,0.150339,0.300677,0.451017,0.150332,0,0.150319,0,0,0,0,0,0,0,0,0,0,0.515457,0.159882,0,0.152183,0,0,0,0,0,0,0,0,0.187622,0.170552,0,0,0,0,0,0.1505,

,,,,Vol.Wt.Mean Diam.,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,
,,,,0.338349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,0.421139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,0.524067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,0.652575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,0.812178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,1.01099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,1.25897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,1.56768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,1.95168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,2.4301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,3.02592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,3.76734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,4.69048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,5.83948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,7.27015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,9.05166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

